Transect,PlotC,PlotR,PlotCGraph,PlotR1,Depth,Depth Segment,Sample ID1,Sample ID2,Bag Wt,WetWtWBag,WetWt,DryWtWBag,DryWt,Seg.Vol.cm3,Core.Area.cm2,Moisture.perc,BD.g.cm3,Crucible.ID,Crucible.Wt,PreWt,Post.Wt wC,PostWt,OM.perc,Tcperc,TOCperc,TICperc,TOC.g.cm3,TC.seg,TOC.seg,TCkg.seg,TOCkg.seg,TCkg/m2,TOC/kg/m2,Sample ID1
SB3,-1,-1,-1,-1,30-50,C,SB3.-1,SB3.-1.C,2.68,108.17,105.49,37.6,34.92,370,18.5,66.89733624,0.377513514,,,,,,,12.722,11.464,1.258,4.327814924,17.7700896,16.0129152,0.01777009,0.016012915,9.605453117,8.655629189,SB3.-1
SB3,-1,-1,-1,-1,50-100,D,SB3.-1,SB3.-1.D,2.74,113.6,110.86,48.28,45.54,925,18.5,58.92116183,0.492324324,,,,,,,10.661,9.072,1.589,4.466366267,48.550194,41.313888,0.048550194,0.041313888,26.24334614,22.33182968,SB3.-1
SB3,0,0,0,0,0-15,A,SB3.0,SB3.0.A,2.72,151.11,148.39,95.19,92.47,277.5,18.5,37.68448009,0.999675676,,,,,,,3.941,3.534,0.407,3.532853839,10.9327281,9.8036694,0.010932728,0.009803669,5.909582314,5.299280359,SB3.0
SB3,0,0,0,0,15-30,B,SB3.0,SB3.0.B,2.68,131.29,128.61,63.36,60.68,277.5,18.5,52.81859886,0.656,,,,,,,6.759,5.926,0.833,3.887456,12.3040836,10.7876904,0.012304084,0.01078769,6.650855501,5.831183563,SB3.0
SB3,0,0,0,0,30-50,C,SB3.0,SB3.0.C,2.73,147.61,144.88,63.06,60.33,370,18.5,58.35864163,0.652216216,,,,,,,9.178,7.704,1.474,5.024673728,22.1483496,18.5912928,0.02214835,0.018591293,11.97207997,10.04934671,SB3.0
SB3,0,0,0,0,50-100,D,SB3.0,SB3.0.D,2.73,126.62,123.89,56.71,53.98,925,18.5,56.42909032,0.583567568,,,,,,,6.534,5.954,0.58,3.4745613,35.270532,32.139692,0.035270532,0.032139692,19.065151,17.37280518,SB3.0
SB3,1,1,1,1,0-15,A,SB3.1,SB3.1.A,2.7,153.34,150.64,82.66,79.96,277.5,18.5,46.91980882,0.864432432,,,,,,,7.062,5.069,1.993,4.381807998,16.9403256,12.1595172,0.016940326,0.012159517,9.15693207,6.572711507,SB3.1
SB3,1,1,1,1,15-30,B,SB3.1,SB3.1.B,2.66,116.03,113.37,48.53,45.87,277.5,18.5,59.53956073,0.495891892,,,,,,,7.409,2.49,4.919,1.234770811,10.1955249,3.426489,0.010195525,0.003426489,5.511094127,1.852156077,SB3.1
SB3,1,1,1,1,30-50,C,SB3.1,SB3.1.C,2.66,121.22,118.56,50.2,47.54,370,18.5,59.90215924,0.513945946,,,,,,,8.425,8.021,0.404,4.122360433,16.02098,15.2527336,0.01602098,0.015252734,8.65998854,8.244720247,SB3.1
SB3,1,1,1,1,50-100,D,SB3.1,SB3.1.D,2.74,110.02,107.28,51.96,49.22,925,18.5,54.12005966,0.532108108,,,,,,,8.544,5.34,3.204,2.841457297,42.053568,26.28348,0.042053568,0.02628348,22.73165667,14.20728542,SB3.1
SB3,2,2,2,2,0-15,A,SB3.2,SB3.2.A,2.67,129.9,127.23,59.47,56.8,277.5,18.5,55.35644109,0.614054054,,,,,,,8.778,7.477,1.301,4.591282162,14.957712,12.740808,0.014957712,0.012740808,8.085249123,6.886922727,SB3.2
SB3,2,2,2,2,15-30,B,SB3.2,SB3.2.B,2.67,118.39,115.72,46.63,43.96,277.5,18.5,62.01175251,0.475243243,,,,,,,10.266,9.429,0.837,4.481068538,13.5388008,12.4349652,0.013538801,0.012434965,7.318270154,6.721602307,SB3.2
SB3,2,2,2,2,30-50,C,SB3.2,SB3.2.C,2.68,121.87,119.19,46.78,44.1,370,18.5,63.0002517,0.476756757,,,,,,,10.275,8.954,1.321,4.268880002,18.1251,15.794856,0.0181251,0.015794856,9.797350617,8.53775936,SB3.2
SB3,2,2,2,2,50-100,D,SB3.2,SB3.2.D,2.69,113.55,110.86,54.68,51.99,925,18.5,53.10301281,0.562054054,,,,,,,7.755,7.403,0.352,4.160886162,40.318245,38.488197,0.040318245,0.038488197,21.79364431,20.80442925,SB3.2
SB3,4,4,4,4,0-15,A,SB3.4,SB3.4.A,2.73,126.55,123.82,60.47,57.74,277.5,18.5,53.36779196,0.624216216,,,,,,,6.398,5.488,0.91,3.425698593,11.0826156,9.5063136,0.011082616,0.009506314,5.990602578,5.138547507,SB3.4
SB3,4,4,4,4,15-30,B,SB3.4,SB3.4.B,2.7,123.7,121,52.49,49.79,277.5,18.5,58.85123967,0.53827027,,,,,,,8.321,5.861,2.46,3.154802052,12.4290777,8.7545757,0.012429078,0.008754576,6.718419874,4.732202726,SB3.4
SB3,4,4,4,4,30-50,C,SB3.4,SB3.4.C,2.76,136.69,133.93,58.46,55.7,370,18.5,58.41111028,0.602162162,,,,,,,7.221,5.39,1.831,3.245654053,16.088388,12.00892,0.016088388,0.01200892,8.696425294,6.491307621,SB3.4
SB3,4,4,4,4,50-100,D,SB3.4,SB3.4.D,2.75,136.47,133.72,61.39,58.64,925,18.5,56.1471732,0.633945946,,,,,,,8.653,7.504,1.149,4.757130379,50.741192,44.003456,0.050741192,0.044003456,27.42766929,23.78565011,SB3.4
SB3,8,8,8,8,0-15,A,SB3.8,SB3.8.A,2.74,131.32,128.58,79.87,77.13,277.5,18.5,40.01399907,0.833837838,,,,,,,8.813,3.901,4.912,3.252801406,20.3924007,9.0265239,0.020392401,0.009026524,11.02291847,4.879201742,SB3.8
SB3,8,8,8,8,15-30,B,SB3.8,SB3.8.B,2.76,121.54,118.78,50.45,47.69,277.5,18.5,59.85014312,0.515567568,,,,,,,10.713,8.194,2.519,4.224560652,15.3270891,11.7231558,0.015327089,0.011723156,8.284912406,6.336840498,SB3.8
SB3,8,8,8,8,30-50,C,SB3.8,SB3.8.C,2.82,133.42,130.6,56.28,53.46,370,18.5,59.06584992,0.577945946,,,,,,,10.264,3.697,6.567,2.136666162,21.9485376,7.9056648,0.021948538,0.007905665,11.86407349,4.273332004,SB3.8
SB3,8,8,8,8,30-50,D,SB3.8,SB3.8.D,2.78,143.62,140.84,,-2.78,925,18.5,101.9738711,-0.030054054,,,,,,,,,,0,,,,,,,SB3.8
SB3,E-,-22,-16,neg end,0-15,A,SB3.-22,SB3.-22.A,2.76,137.4,134.64,82.07,79.31,277.5,18.5,41.09477124,0.857405405,,,,,,,11.27,8.272,2.998,7.09245751,26.814711,19.6815696,0.026814711,0.01968157,14.49443729,10.63868547,SB3.-22
SB3,E-,-22,-16,neg end,15-30,B,SB3.-22,SB3.-22.B,2.76,121.54,118.78,53.52,50.76,277.5,18.5,57.26553292,0.548756757,,,,,,,13.678,12.232,1.446,6.712392652,20.8288584,18.6268896,0.020828858,0.01862689,11.25884153,10.06858822,SB3.-22
SB3,E-,-22,-16,neg end,30-50,C,SB3.-22,SB3.-22.C,2.75,127.19,124.44,50.23,47.48,370,18.5,61.8450659,0.513297297,,,,,,,15.304,12.505,2.799,6.418782699,29.0653568,23.749496,0.029065357,0.023749496,15.7110025,12.83756444,SB3.-22
SB3,E-,-22,-16,neg end,50-100,D,SB3.-22,SB3.-22.D,2.78,115.53,112.75,47.85,45.07,925,18.5,60.02660754,0.487243243,,,,,,,11.918,11.099,0.819,5.407912754,53.714426,50.023193,0.053714426,0.050023193,29.03482269,27.03956176,SB3.-22
SB3,E,22,16,pos end,0-15,A,SB3.22,SB3.22.A,2.63,104.2,101.57,48.84,46.21,277.5,18.5,54.50428276,0.499567568,,,,,,,7.059,4.442,2.617,2.219079137,9.7858917,6.1579446,0.009785892,0.006157945,5.289670792,3.328618453,SB3.22
SB3,E,22,16,pos end,15-30,B,SB3.22,SB3.22.B,2.7,147.59,144.89,57.94,55.24,277.5,18.5,61.8745255,0.597189189,,,,,,,10.935,3.958,6.977,2.36367481,18.121482,6.5591976,0.018121482,0.006559198,9.795394941,3.54551195,SB3.22
SB3,E,22,16,pos end,30-50,C,SB3.22,SB3.22.C,2.76,130.1,127.34,57.18,54.42,370,18.5,57.26401759,0.588324324,,,,,,,8.579,7.064,1.515,4.155923025,18.6747672,15.3769152,0.018674767,0.015376915,10.094468,8.311845431,SB3.22
SB3,E,22,16,pos end,50-100,D,SB3.22,SB3.22.D,2.74,135.66,132.92,65.05,62.31,925,18.5,53.12217875,0.673621622,,,,,,,5.689,5.201,0.488,3.503506056,35.448159,32.407431,0.035448159,0.032407431,19.16116559,17.51752896,SB3.22
